Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Analysis
GO_Biological_Process_2023,Positive Regulation Of Cation Channel Activity (GO:2001259),1/38,0.1215003854533458,0.2016824580084158,0,0,8.025413473174668,16.916270230507074,TRDN,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Bone Mineralization (GO:0030501),1/38,0.1215003854533458,0.2016824580084158,0,0,8.025413473174668,16.916270230507074,LTF,GO Biological Process
GO_Biological_Process_2023,Regulation Of Intracellular Transport (GO:0032386),1/38,0.1215003854533458,0.2016824580084158,0,0,8.025413473174668,16.916270230507074,MYL1,GO Biological Process
GO_Biological_Process_2023,Response To Transforming Growth Factor Beta (GO:0071559),1/38,0.1215003854533458,0.2016824580084158,0,0,8.025413473174668,16.916270230507074,ANKRD1,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208),1/39,0.1244929653895161,0.2052676653412422,0,0,7.813825608798115,16.280153066858286,LTF,GO Biological Process
GO_Biological_Process_2023,Regulation Of Monoatomic Cation Transmembrane Transport (GO:1904062),1/39,0.1244929653895161,0.2052676653412422,0,0,7.813825608798115,16.280153066858286,BPIFA1,GO Biological Process
GO_Biological_Process_2023,Retinoid Metabolic Process (GO:0001523),1/40,0.1274755006404551,0.2080974232309416,0,0,7.6130884041331806,15.6816761453018,ADH7,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Insulin Secretion (GO:0032024),1/40,0.1274755006404551,0.2080974232309416,0,0,7.6130884041331806,15.6816761453018,ANO1,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Myeloid Leukocyte Differentiation (GO:0002763),1/40,0.1274755006404551,0.2080974232309416,0,0,7.6130884041331806,15.6816761453018,FADD,GO Biological Process
GO_Cellular_Component_2023,Endocytic Vesicle Lumen (GO:0071682),1/21,0.0690569798213239,0.20972860538328,0,0,14.859701492537312,39.71735668720526,LTF,GO Cellular Component
GO_Biological_Process_2023,Positive Regulation Of Response To Biotic Stimulus (GO:0002833),1/41,0.1304480244280874,0.2115489343521285,0,0,7.422388059701492,15.117774608767611,FADD,GO Biological Process
GO_Biological_Process_2023,Detection Of Chemical Stimulus Involved In Sensory Perception Of Bitter Taste (GO:0001580),1/41,0.1304480244280874,0.2115489343521285,0,0,7.422388059701492,15.117774608767611,PIGR,GO Biological Process
Cancer_Cell_Line_Encyclopedia,MOGGUVW CENTRAL NERVOUS SYSTEM,2/63,0.0194677024405894,0.2121545371033505,0,0,9.871336313959263,38.88317865399663,SLN;MYL1,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,OVISE OVARY,3/168,0.0195899081411738,0.2121545371033505,0,0,5.529230769230769,21.745031085472768,SLC34A2;UPK1B;KRT24,Cancer Cell Line Encyclopedia
Reactome_2022,Regulation Of TNFR1 Signaling R-HSA-5357905,1/35,0.1124620438492114,0.2146222210862814,0,0,8.734855136084285,19.08687700448831,FADD,Reactome Pathways
CellMarker_2024,Astrocyte Brain Mouse,4/582,0.1360272379342242,0.2146935924022094,0,0,2.0927768166089966,4.174880752662036,GSTM1;CKM;MYL1;PPFIA1,CellMarker
GO_Biological_Process_2023,Monoatomic Cation Transport (GO:0006812),1/42,0.1334105698458863,0.2149392514183725,0,0,7.240990171095741,14.585699665663611,ANO1,GO Biological Process
