Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Analysis
PanglaoDB_Augmented_2021,Airway Epithelial Cells,5/103,2.647066866178224e-05,0.0002684882107123627,0,0,16.062520246193717,169.29050295910355,PIGR;SLC34A2;BPIFA1;BPIFB1;ADH7,PanglaoDB
GO_Biological_Process_2023,Actin Filament Organization (GO:0007015),6/144,9.513330772216888e-06,0.00027588659239428974,0,0,13.88078541374474,160.50097466771362,ACTA1;ACTC1;NRAP;XIRP2;TCAP;LMOD2,GO Biological Process
ENCODE_TF_ChIP-seq_2015,TCF12 myocyte mm9,17/1223,4.801293360993649e-07,0.00030008083506210306,0,0,5.175787728026534,75.30362422224378,MYOG;CKM;TNNC1;MYBPH;KLHL41;LMOD2;ACTA1;CHRND;ACTC1;DES;MYL1;NRAP;ANKRD1;SMYD1;TCAP;CACNA1S;ASB5,ENCODE TF ChIP-seq
GO_Biological_Process_2023,Keratinocyte Differentiation (GO:0030216),4/42,1.2408288722730247e-05,0.0003219624389634743,0,0,32.7203947368421,369.6470720462672,SPRR2F;SPRR3;SPRR2G;SPRR2B,GO Biological Process
GO_Biological_Process_2023,Skeletal Muscle Tissue Development (GO:0007519),4/42,1.2408288722730247e-05,0.0003219624389634743,0,0,32.7203947368421,369.6470720462672,MYOG;CSRP3;MYF6;KLHL41,GO Biological Process
GO_Cellular_Component_2023,Polymeric Cytoskeletal Fiber (GO:0099513),7/265,3.222894816860599e-05,0.0003775391071179558,0,0,8.750667174990468,90.50504846047008,ACTA1;ACTC1;CTTN;ACTN2;KRT2;NEFM;LMOD2,GO Cellular Component
Cancer_Cell_Line_Encyclopedia,BICR16 UPPER AERODIGESTIVE TRACT,6/125,4.211769696353973e-06,0.0004287581550888344,0,0,16.112496611547844,199.4344834595144,SPRR3;LCE3D;SPRR2G;SPINK7;SPINK6;KRT24,Cancer Cell Line Encyclopedia
CellMarker_2024,Secretory Cell Airway Epithelium Human,3/15,1.6610279367976186e-05,0.00043518931944097605,0,0,76.61538461538461,843.1897584581213,PIGR;BPIFB1;MUC5B,CellMarker
PanglaoDB_Augmented_2021,Airway Goblet Cells,5/118,5.086727192545035e-05,0.0004514470383383718,0,0,13.919792105632814,137.61511303446343,PIGR;BPIFB1;SCGB3A1;MUC5B;LTF,PanglaoDB
GO_Biological_Process_2023,Heart Process (GO:0003015),3/16,2.0393699200298096e-05,0.000502704685287348,0,0,70.71834319526627,763.778230654716,ACTC1;MYL2;TRDN,GO Biological Process
GO_Biological_Process_2023,Regulation Of Myoblast Differentiation (GO:0045661),4/54,3.400003748412858e-05,0.000761909930894336,0,0,24.8525,255.7110738045548,MYOG;MYF6;SMYD1;KLHL41,GO Biological Process
GO_Biological_Process_2023,Epidermal Cell Differentiation (GO:0009913),4/54,3.400003748412858e-05,0.000761909930894336,0,0,24.8525,255.7110738045548,SPRR2F;SPRR3;SPRR2G;SPRR2B,GO Biological Process
CellMarker_2024,Cardiomyocyte Heart Mouse,3/19,3.503155869033606e-05,0.0007648556980723372,0,0,57.45,589.3945574264905,ACTC1;ACTN2;TNNC1,CellMarker
Human_Gene_Atlas,Trachea,4/72,0.00010563700699436324,0.000818686804206315,0,0,18.25735294117647,167.15522777206678,PIGR;UPK1B;MUC5B;LTF,Human Gene Atlas
Cancer_Cell_Line_Encyclopedia,SJRH30 SOFT TISSUE,8/315,1.1271696753569324e-05,0.0009562156079277976,0,0,8.523344191096633,97.10829873823454,MYOG;CHRND;CSRP3;ACTC1;DES;CKM;SMYD1;STATH,Cancer Cell Line Encyclopedia
GO_Cellular_Component_2023,Sarcoplasmic Reticulum Membrane (GO:0033017),3/27,0.000103706510385465,0.001062991731451,0,0,38.284615384615385,351.2209812956565,SLN;KLHL41;TRDN,GO Cellular Component
Cancer_Cell_Line_Encyclopedia,HARA LUNG,5/93,1.6132240787677964e-05,0.0011730443658468,0,0,17.896825396825395,197.4859337497494,LCE3D;SPRR2G;SPINK7;SPINK6;NTS,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,SCC9 UPPER AERODIGESTIVE TRACT,7/248,2.1086994359826613e-05,0.0013416600161439,0,0,9.376028841575405,100.95033446750404,FLG2;SPRR3;LCE3D;SPRR2G;SPINK7;SPINK6;RPTN,Cancer Cell Line Encyclopedia
GO_Biological_Process_2023,Skin Development (GO:0043588),4/68,8.447967374290188e-05,0.00166593916621,0,0,19.40234375,181.9745742695092,SPRR2F;SPRR3;SPRR2G;SPRR2B,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Striated Muscle Cell Differentiation (GO:0051155),3/25,8.194477284226889e-05,0.00166593916621,0,0,41.76923076923077,393.026116651049,MYOG;MYF6;SMYD1,GO Biological Process
GO_Biological_Process_2023,Ventricular Cardiac Muscle Tissue Development (GO:0003229),3/25,8.194477284226889e-05,0.00166593916621,0,0,41.76923076923077,393.026116651049,TNNC1;MYL2;MYH7,GO Biological Process
Cancer_Cell_Line_Encyclopedia,TE6 OESOPHAGUS,5/110,3.633628788350884e-05,0.0016813791393369,0,0,14.986394557823129,153.20132047987494,PPFIA1;HORMAD1;FADD;NTS;ADH7,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,TT OESOPHAGUS,7/262,2.997192444036378e-05,0.0016813791393369,0,0,8.8549662487946,92.22668249839322,ANO1;SPRR3;LCE3D;UPK1B;PPFIA1;FADD;ADH7,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,TE14 OESOPHAGUS,5/110,3.633628788350884e-05,0.0016813791393369,0,0,14.986394557823129,153.20132047987494,PPFIA1;STATH;ADH7;RPTN;TRDN,Cancer Cell Line Encyclopedia
GO_Biological_Process_2023,Cardiac Muscle Cell Development (GO:0055013),3/26,9.240810800337933e-05,0.001752199894064,0,0,39.95117056856187,371.118242334436,CSRP3;MYL2;TCAP,GO Biological Process
GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),7/316,9.767900963960374e-05,0.0017835463611972,0,0,7.287442304631545,67.29095868216858,DES;KRT2;KRT24;XIRP2;KLHL41;LMOD2;TRDN,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Skeletal Muscle Fiber Development (GO:0048743),2/5,0.00011315119111665648,0.001969774434446,0,0,201.3030303030303,1829.1974888825955,MYOG;MYF6,GO Biological Process
GO_Biological_Process_2023,Mucosal Immune Response (GO:0002385),3/28,0.00011586908437918095,0.001969774434446,0,0,36.751384615384616,333.0796211647444,PIGR;BPIFB1;LTF,GO Biological Process
CellMarker_2024,Cardiomyocyte Embryo Human,2/5,0.00011315119111665648,0.0021175437194688,0,0,201.3030303030303,1829.1974888825955,MYL2;MYH7,CellMarker
CellMarker_2024,Granulocytic Neutrophil Blood Mouse,2/6,0.00016935418711549392,0.0024650442791255,0,0,150.96969696969697,1310.94811949453,GSTM1;LTF,CellMarker
CellMarker_2024,Cardiomyocyte Heart Muscle Human,2/6,0.00016935418711549392,0.0024650442791255,0,0,150.96969696969697,1310.94811949453,MYL2;MYH7,CellMarker
GO_Biological_Process_2023,Detection Of Muscle Stretch (GO:0035995),2/6,0.00016935418711549392,0.0026932778789657,0,0,150.96969696969697,1310.94811949453,CSRP3;TCAP,GO Biological Process
GO_Biological_Process_2023,Skeletal Muscle Thin Filament Assembly (GO:0030240),2/6,0.00016935418711549392,0.0026932778789657,0,0,150.96969696969697,1310.94811949453,ACTC1;TCAP,GO Biological Process
CellMarker_2024,Club Cell (Clara Cell) Lung Human,2/7,0.0002365753274945057,0.00281739708198,0,0,120.76969696969697,1008.3356546729788,SCGB3A1;MUC5B,CellMarker
CellMarker_2024,Myoblast Undefined Human,2/7,0.0002365753274945057,0.00281739708198,0,0,120.76969696969697,1008.3356546729788,MYOG;MYF6,CellMarker
Cancer_Cell_Line_Encyclopedia,TE11 OESOPHAGUS,4/64,6.658670949613468e-05,0.0028243862611277,0,0,20.7,199.07201503915695,ANO1;PPFIA1;FADD;ADH7,Cancer Cell Line Encyclopedia
GO_Biological_Process_2023,Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010),3/33,0.0001906414942440443,0.0029370705206973,0,0,30.61846153846154,262.25067136359644,TNNC1;MYL2;MYH7,GO Biological Process
GO_Biological_Process_2023,Regulation Of Skeletal Muscle Fiber Development (GO:0048742),2/7,0.0002365753274945057,0.0033323324701368,0,0,120.76969696969697,1008.3356546729788,MYOG;MYF6,GO Biological Process
GO_Biological_Process_2023,Cardiac Muscle Hypertrophy (GO:0003300),2/7,0.0002365753274945057,0.0033323324701368,0,0,120.76969696969697,1008.3356546729788,CSRP3;TCAP,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Myotube Differentiation (GO:0010831),2/7,0.0002365753274945057,0.0033323324701368,0,0,120.76969696969697,1008.3356546729788,MYOG;SMYD1,GO Biological Process
